Column1,latitude,longitude,location
291,33.781693,-84.38382,"1005, Peachtree Street Northeast, Atlanta,  Georgia, 30309"
292,33.781678,-84.38389599999999,"1005, Peachtree Street Northeast, Atlanta,  Georgia, 30309"
293,33.781683,-84.383758,"1005, Peachtree Street Northeast, Atlanta,  Georgia, 30309"
294,33.781675,-84.383933,"1005, Peachtree Street Northeast, Atlanta,  Georgia, 30309"
295,33.781637,-84.383776,"1005, Peachtree Street Northeast, Atlanta,  Georgia, 30309"
296,33.781689,-84.383725,"1005, Peachtree Street Northeast, Atlanta,  Georgia, 30309"
297,33.781649,-84.383892,"999, Peachtree Street Northeast, Atlanta,  Georgia, 30309"
298,33.781698,-84.38390099999999,"1005, Peachtree Street Northeast, Atlanta,  Georgia, 30309"
299,33.845793,-84.373912,"Piedmont Road Northeast, Buckhead, Atlanta,  Georgia, 30305"
300,33.845852,-84.373808,"Piedmont Road Northeast, Buckhead, Atlanta,  Georgia, 30305"
301,33.845716,-84.37379900000001,"Piedmont Road Northeast, Buckhead, Atlanta,  Georgia, 30305"
302,33.781683,-84.383987,"999, Peachtree Street Northeast, Atlanta,  Georgia, 30309"
303,33.781665,-84.383966,"999, Peachtree Street Northeast, Atlanta,  Georgia, 30309"
304,33.781721,-84.38387299999999,"1005, Peachtree Street Northeast, Atlanta,  Georgia, 30309"
305,33.781705,-84.383931,"1005, Peachtree Street Northeast, Atlanta,  Georgia, 30309"
306,33.781701,-84.38389599999999,"1005, Peachtree Street Northeast, Atlanta,  Georgia, 30309"
307,33.781687,-84.383945,"1005, Peachtree Street Northeast, Atlanta,  Georgia, 30309"
308,33.781716,-84.383843,"1005, Peachtree Street Northeast, Atlanta,  Georgia, 30309"
309,33.781704,-84.383909,"1005, Peachtree Street Northeast, Atlanta,  Georgia, 30309"
310,33.781717,-84.383838,"1005, Peachtree Street Northeast, Atlanta,  Georgia, 30309"
311,33.781711,-84.383928,"1005, Peachtree Street Northeast, Atlanta,  Georgia, 30309"
